,County,Year,GDP (thousands),Average Monthly ZHVI,Estimated ZHVI,ZHVI Residual
91,"Blount, AL",2016,876333,183413.33333333334,10057938.55225887,183413.33333333334
92,"Blount, AL",2017,943993,188687.05555555556,10573179.582113119,188687.05555555556
93,"Blount, AL",2018,980678,198145.16666666666,11497174.587869944,198145.16666666666
94,"Blount, AL",2019,975948,209779.66666666666,12633850.617895389,209779.66666666666
95,"Bullock, AL",2004,193689,123898.0,4243647.71195253,123898.0
96,"Bullock, AL",2005,190225,126663.08333333333,4513773.128628109,126663.08333333333
97,"Bullock, AL",2006,206354,140982.16666666666,5912661.317191437,140982.16666666666
98,"Bullock, AL",2007,205146,147926.75,6591149.93158995,147926.75
99,"Bullock, AL",2008,204804,150230.75,6816238.163062114,150230.75
100,"Bullock, AL",2009,231922,142663.25,6076885.8471848,142663.25
101,"Bullock, AL",2010,223581,132156.83333333334,5050506.958362512,132156.83333333334
102,"Bullock, AL",2011,224906,128911.16666666667,4733390.465585323,128911.16666666667
103,"Bullock, AL",2012,249552,132483.75,5082453.074548015,132483.75
104,"Bullock, AL",2013,232138,133358.91666666666,5167935.801344084,133358.91666666666
105,"Bullock, AL",2014,215599,129004.25,4742476.058261935,129004.25
106,"Bullock, AL",2015,218664,83268.46666666666,274318.3522676341,83268.46666666666
107,"Bullock, AL",2016,232873,83747.47222222222,321114.0392794255,83747.47222222222
108,"Bullock, AL",2017,238795,84025.5,348370.8173092576,84025.5
109,"Bullock, AL",2018,250253,83891.91666666667,335279.7482913453,83891.91666666667
110,"Bullock, AL",2019,272268,84623.79166666667,406792.15516531374,84623.79166666667
111,"Butler, AL",2004,440445,64002.0,-1607864.7499644412,64002.0
112,"Butler, AL",2005,432981,62299.541666666664,-1774140.8654009085,62299.541666666664
113,"Butler, AL",2006,451960,63868.083333333336,-1620955.8189823534,63868.083333333336
114,"Butler, AL",2007,491080,69112.88461538461,-1108547.9309304878,69112.88461538461
115,"Butler, AL",2008,478870,76566.83333333333,-380332.7931728894,76566.83333333333
116,"Butler, AL",2009,449369,74639.35897435897,-568687.8757589711,74639.35897435897
117,"Butler, AL",2010,530579,58424.8125,-2152707.2269263575,58424.8125
118,"Butler, AL",2011,559415,55753.729166666664,-2413649.356380415,55753.729166666664
119,"Butler, AL",2012,559656,56562.708333333336,-2334614.469548392,56562.708333333336
120,"Butler, AL",2013,582905,55517.8125,-2436705.2689791266,55517.8125
121,"Butler, AL",2014,593153,54425.645833333336,-2543387.7120206207,54425.645833333336
122,"Butler, AL",2015,615852,56365.479166666664,-2353957.9894405315,56365.479166666664
123,"Butler, AL",2016,601096,59195.0,-2077482.427345817,59195.0
124,"Butler, AL",2017,627398,63431.020833333336,-1663648.3351079328,63431.020833333336
125,"Butler, AL",2018,660163,66449.33333333333,-1368806.198570177,66449.33333333333
126,"Butler, AL",2019,664893,69324.41666666667,-1087934.3819545219,69324.41666666667
127,"Calhoun, AL",2001,2719537,86035.05555555556,544639.158033032,86035.05555555556
128,"Calhoun, AL",2002,2859680,81073.46666666666,59878.826190638356,81073.46666666666
129,"Calhoun, AL",2003,2997971,82708.16666666667,219609.40711815003,82708.16666666667
130,"Calhoun, AL",2004,3324586,85500.16666666667,492372.57650629245,85500.16666666667
131,"Calhoun, AL",2005,3568305,93831.6875,1306363.5246946886,93831.6875
132,"Calhoun, AL",2006,3777282,100303.6875,1938642.619350871,100303.6875
133,"Calhoun, AL",2007,4024250,107526.89583333333,2644290.3172343075,107526.89583333333
134,"Calhoun, AL",2008,4156337,111284.22916666667,3011328.7224604003,111284.22916666667
135,"Calhoun, AL",2009,4049773,108547.5,2744036.447587205,108547.5
136,"Calhoun, AL",2010,4238183,104544.859375,2352965.184313303,104544.859375
137,"Calhoun, AL",2011,4153945,103162.77083333333,2217951.323247969,103162.77083333333
138,"Calhoun, AL",2012,4185918,102154.21527777778,2119377.5274339877,102154.21527777778
139,"Calhoun, AL",2013,4091975,101738.47916666667,2078736.5967515148,101738.47916666667
140,"Calhoun, AL",2014,4047759,104379.34722222222,2336747.8898582775,104379.34722222222
141,"Calhoun, AL",2015,4041585,106935.48611111111,2586455.1466477085,106935.48611111111
142,"Calhoun, AL",2016,4117248,109401.96527777778,2827467.5889401697,109401.96527777778
143,"Calhoun, AL",2017,4218400,112158.72916666667,3096811.4492564686,112158.72916666667
144,"Calhoun, AL",2018,4402334,116547.49305555556,3525495.112320641,116547.49305555556
145,"Calhoun, AL",2019,4590003,121665.75694444444,4025593.4877138715,121665.75694444444
146,"Chambers, AL",2009,623913,75889.05555555556,-446569.69462172966,75889.05555555556
147,"Chambers, AL",2010,646638,76447.07142857143,-392056.1385620646,76447.07142857143
148,"Chambers, AL",2011,672987,70787.47916666667,-945007.2627514945,70787.47916666667
149,"Chambers, AL",2012,750106,67389.3125,-1276973.3263549712,67389.3125
150,"Chambers, AL",2013,996526,64109.645833333336,-1597313.739114183,64109.645833333336
151,"Chambers, AL",2014,977011,57030.88333333333,-2288893.422530609,57030.88333333333
152,"Chambers, AL",2015,987823,59776.3,-2020721.8967532264,59776.3
153,"Chambers, AL",2016,921607,61770.816666666666,-1825821.279658189,61770.816666666666
154,"Chambers, AL",2017,876383,64158.2,-1592624.400958513,64158.2
155,"Chambers, AL",2018,906708,67191.23333333334,-1296316.8462471105,67191.23333333334
156,"Chambers, AL",2019,953730,69879.53333333334,-1033616.2149846768,69879.53333333334
157,"Cherokee, AL",2002,318075,105000.83333333333,2397513.8967921697,105000.83333333333
158,"Cherokee, AL",2003,336326,100839.83333333333,1991006.89542252,100839.83333333333
159,"Cherokee, AL",2004,372840,104904.75,2388135.2204808295,104904.75
160,"Cherokee, AL",2005,365661,110654.41666666667,2949781.15916723,110654.41666666667
161,"Cherokee, AL",2006,403636,116212.33333333333,3492767.43977586,116212.33333333333
162,"Cherokee, AL",2007,434303,128830.16666666667,4725477.207447631,128830.16666666667
163,"Cherokee, AL",2008,452363,133968.83333333334,5227529.473739058,133968.83333333334
164,"Cherokee, AL",2009,428216,128889.58333333333,4731338.8801422175,128889.58333333333
165,"Cherokee, AL",2010,452084,108228.72727272728,2712871.887760982,108228.72727272728
166,"Cherokee, AL",2011,475347,103078.52083333333,2209744.981475547,103078.52083333333
167,"Cherokee, AL",2012,472852,100487.5,1956618.4156142734,100487.5
168,"Cherokee, AL",2013,525307,101762.4375,2081081.265829349,101762.4375
169,"Cherokee, AL",2014,511811,102768.54166666667,2179459.6725535113,102768.54166666667
170,"Cherokee, AL",2015,529936,105889.27083333333,2484266.6526720654,105889.27083333333
171,"Cherokee, AL",2016,521848,111626.97916666667,3044837.9513644595,111626.97916666667
172,"Cherokee, AL",2017,546458,116914.8125,3561446.7048474457,116914.8125
173,"Cherokee, AL",2018,591293,121476.0,4007031.524181012,121476.0
174,"Cherokee, AL",2019,598746,128021.52083333333,4646540.015160518,128021.52083333333
175,"Chilton, AL",2001,498268,121975.91666666667,4055878.796635907,121975.91666666667
176,"Chilton, AL",2002,532113,119850.5,3848180.194157688,119850.5
177,"Chilton, AL",2003,563391,124261.66666666667,4279208.526299695,124261.66666666667
178,"Chilton, AL",2004,619985,132508.91666666666,5084895.438170759,132508.91666666666
179,"Chilton, AL",2005,646491,125512.41666666667,4401326.707436936,125512.41666666667
180,"Chilton, AL",2006,699949,116950.75,3564963.708464198,116950.75
181,"Chilton, AL",2007,715802,134323.5,5262211.037182035,134323.5
182,"Chilton, AL",2008,701312,142626.33333333334,6073271.149023136,142626.33333333334
183,"Chilton, AL",2009,708357,116852.4054054054,3555291.948518127,116852.4054054054
184,"Chilton, AL",2010,726726,109756.17857142857,2862051.4578382354,109756.17857142857
185,"Chilton, AL",2011,781607,104938.55952380953,2391456.8350077625,104938.55952380953
186,"Chilton, AL",2012,826937,101743.94047619047,2079322.764020972,101743.94047619047
187,"Chilton, AL",2013,881871,101103.35714285714,2016700.5607337952,101103.35714285714
188,"Chilton, AL",2014,863768,101908.07142857143,2095344.6693861783,101908.07142857143
189,"Chilton, AL",2015,899018,105109.32142857143,2408064.907642426,105109.32142857143
190,"Chilton, AL",2016,923432,108764.38095238095,2765138.4692877214,108764.38095238095
191,"Chilton, AL",2017,976236,113241.72619047618,3202614.641393775,113241.72619047618
192,"Chilton, AL",2018,1032642,117694.17857142857,3637550.755332174,117694.17857142857
193,"Chilton, AL",2019,1088804,123791.78571428571,4233292.090192093,123791.78571428571
194,"Choctaw, AL",2017,538181,43462.75,-3614413.0078666825,43462.75
195,"Choctaw, AL",2018,603115,44563.083333333336,-3506949.0084659103,44563.083333333336
196,"Choctaw, AL",2019,610383,48041.166666666664,-3167167.3812696496,48041.166666666664
197,"Clarke, AL",2017,825412,90510.0,981822.2465043571,90510.0
198,"Clarke, AL",2018,876370,95782.375,1496867.8872687854,95782.375
199,"Clarke, AL",2019,898449,98160.1,1729185.515064275,98160.1
200,"Clay, AL",2002,266728,97701.22222222222,1684343.7189506795,97701.22222222222
201,"Clay, AL",2003,250841,101752.25,2080104.3203802519,101752.25
202,"Clay, AL",2004,280212,104095.75,2309100.3336488064,104095.75
203,"Clay, AL",2005,313040,108681.83333333333,2757127.5166051183,108681.83333333333
204,"Clay, AL",2006,355679,118816.75,3747261.7292658705,118816.75
205,"Clay, AL",2007,312499,123830.0,4237004.482898664,123830.0
206,"Clay, AL",2008,292693,124947.83333333333,4346226.984107813,124947.83333333333
207,"Clay, AL",2009,284740,125984.58333333333,4447536.227179268,125984.58333333333
208,"Clay, AL",2010,287746,107376.75,2629636.1354978383,107376.75
209,"Clay, AL",2011,273474,98417.75,1754390.7076510005,98417.75
210,"Clay, AL",2012,280554,86871.875,626409.4921225291,86871.875
211,"Clay, AL",2013,310758,87052.2,643994.5102062915,87052.2
212,"Clay, AL",2014,319745,87009.11111111111,639793.6447751708,87009.11111111111
213,"Clay, AL",2015,341114,91647.5,1092998.6386117004,91647.5
214,"Clay, AL",2016,368041,94278.19444444444,1349935.2917244565,94278.19444444444
215,"Clay, AL",2017,404283,99196.77777777778,1830494.7581357304,99196.77777777778
216,"Clay, AL",2018,449094,101244.05555555556,2030475.4915660769,101244.05555555556
217,"Clay, AL",2019,446444,105515.47222222222,2447728.8928758036,105515.47222222222
218,"Cleburne, AL",2002,213111,87718.61111111111,709156.7716611233,87718.61111111111
219,"Cleburne, AL",2003,214084,89343.14583333333,867812.7125946283,89343.14583333333
220,"Cleburne, AL",2004,238187,94115.58333333333,1334108.775449071,94115.58333333333
221,"Cleburne, AL",2005,251914,103108.02083333333,2212578.1232779305,103108.02083333333
222,"Cleburne, AL",2006,253148,110421.77083333333,2927116.0247481577,110421.77083333333
223,"Cleburne, AL",2007,248828,111800.77083333333,3061836.802178763,111800.77083333333
224,"Cleburne, AL",2008,264836,112619.41666666667,3141750.9399149735,112619.41666666667
225,"Cleburne, AL",2009,240784,112272.70833333333,3107948.6273761857,112272.70833333333
226,"Cleburne, AL",2010,255457,108303.1875,2720101.284084307,108303.1875
227,"Cleburne, AL",2011,248745,102418.97916666667,2145266.5818350837,102418.97916666667
228,"Cleburne, AL",2012,266164,90702.4375,1000579.5991270375,90702.4375
229,"Cleburne, AL",2013,287578,85231.75,466190.4384704679,85231.75
230,"Cleburne, AL",2014,304564,83006.0,248722.3815012686,83006.0
231,"Cleburne, AL",2015,313774,81754.1875,126408.8112742072,81754.1875
232,"Cleburne, AL",2016,296729,84273.41666666667,372501.36990197655,84273.41666666667
233,"Cleburne, AL",2017,306775,88484.47916666667,783893.0985171162,88484.47916666667
234,"Cleburne, AL",2018,318536,94381.39583333333,1359997.8298501652,94381.39583333333
235,"Cleburne, AL",2019,293412,103764.85416666667,2276763.4392836653,103764.85416666667
236,"Coffee, AL",2003,838087,120935.3,3954178.7753848135,120935.3
237,"Coffee, AL",2004,932002,125036.16666666667,4354824.104059875,125036.16666666667
238,"Coffee, AL",2005,965559,134551.16666666666,5284387.698876558,134551.16666666666
239,"Coffee, AL",2006,982251,146593.58333333334,6460923.103225196,146593.58333333334
240,"Coffee, AL",2007,1063540,153218.5,7108051.768707667,153218.5
241,"Coffee, AL",2008,1109353,154997.41666666666,7281850.3641021885,154997.41666666666
242,"Coffee, AL",2009,1156636,154187.75,7202815.477270165,154187.75
243,"Coffee, AL",2010,1183258,148404.33333333334,6637750.229511922,148404.33333333334
244,"Coffee, AL",2011,1153916,137983.83333333334,5619773.071551876,137983.83333333334
245,"Coffee, AL",2012,1208587,109354.63636363637,2822875.945329409,109354.63636363637
246,"Coffee, AL",2013,1242826,104653.41666666667,2363516.195163561,104653.41666666667
247,"Coffee, AL",2014,1293018,112269.27083333333,3107557.849196546,112269.27083333333
248,"Coffee, AL",2015,1396531,107480.70909090909,2639796.3681684565,107480.70909090909
249,"Coffee, AL",2016,1406574,92765.32911392405,1202123.44527594,92765.32911392405
250,"Coffee, AL",2017,1426212,90924.52083333333,1022365.4826419204,90924.52083333333
251,"Coffee, AL",2018,1476132,93866.15625,1309685.1392216217,93866.15625
252,"Coffee, AL",2019,1508238,97103.42708333333,1625922.3810946234,97103.42708333333
253,"Colbert, AL",2015,2632285,92131.69444444444,1140282.7983480413,92131.69444444444
254,"Colbert, AL",2016,2518189,94669.10416666667,1388133.8587841857,94669.10416666667
255,"Colbert, AL",2017,2469725,96924.875,1608532.75210068,96924.875
256,"Colbert, AL",2018,2599129,96916.94827586207,1607751.195741402,96916.94827586207
257,"Colbert, AL",2019,2668227,100051.25,1913925.899488693,100051.25
258,"Conecuh, AL",2004,291474,64615.0,-1547977.9939347375,64615.0
259,"Conecuh, AL",2005,352420,67347.08333333333,-1281076.4972411832,67347.08333333333
260,"Conecuh, AL",2006,427014,70793.83333333333,-944323.400937126,70793.83333333333
261,"Conecuh, AL",2007,469991,73772.5,-653389.0461957613,73772.5
262,"Conecuh, AL",2008,558447,69150.5,-1104933.2327688253,69150.5
263,"Conecuh, AL",2009,415970,63824.666666666664,-1625156.684413474,63824.666666666664
264,"Conecuh, AL",2010,406270,60916.916666666664,-1909252.4210111527,60916.916666666664
265,"Conecuh, AL",2011,492552,59069.25,-2089791.9400044503,59069.25
266,"Conecuh, AL",2012,512476,58885.666666666664,-2107670.041722943,58885.666666666664
267,"Conecuh, AL",2013,537801,59448.25,-2052765.707483639,59448.25
268,"Conecuh, AL",2014,472137,64196.583333333336,-1588814.3137070313,64196.583333333336
269,"Conecuh, AL",2015,389071,68443.5,-1173905.5814751396,68443.5
270,"Conecuh, AL",2016,384416,70432.66666666667,-979591.1316495612,70432.66666666667
271,"Conecuh, AL",2017,399073,69838.41666666667,-1037719.3858708879,69838.41666666667
272,"Conecuh, AL",2018,411683,81092.6,61832.71708883438,81092.6
273,"Conecuh, AL",2019,418672,86942.06666666667,633248.1102662142,86942.06666666667
274,"Coosa, AL",2001,137301,74359.5,-595944.6537888031,74359.5
275,"Coosa, AL",2002,140972,68972.08333333333,-1122322.8617627686,68972.08333333333
276,"Coosa, AL",2003,136869,72967.41666666667,-732033.1548481453,72967.41666666667
277,"Coosa, AL",2004,145850,74454.41666666667,-586761.3665672829,74454.41666666667
278,"Coosa, AL",2005,157992,74676.17647058824,-565073.1775973085,74676.17647058824
279,"Coosa, AL",2006,179747,76441.83333333333,-392544.6112866141,76441.83333333333
280,"Coosa, AL",2007,171299,77363.125,-302567.9354246948,77363.125
281,"Coosa, AL",2008,160828,125992.25,4448220.088993637,125992.25
282,"Coosa, AL",2009,168926,138471.66666666666,5667448.009467857,138471.66666666666
283,"Coosa, AL",2010,162473,128668.47916666667,4709650.691172244,128668.47916666667
284,"Coosa, AL",2011,167501,128696.54166666667,4712483.832974628,128696.54166666667
285,"Coosa, AL",2012,161870,127531.95833333333,4598669.68815472,127531.95833333333
286,"Coosa, AL",2013,179602,129060.72916666667,4748044.647321792,129060.72916666667
287,"Coosa, AL",2014,173496,131548.25,4991010.980512448,131548.25
288,"Coosa, AL",2015,180487,135944.5,5420476.199935898,135944.5
289,"Coosa, AL",2016,187210,139979.60416666666,5814771.383191824,139979.60416666666
290,"Coosa, AL",2017,185047,149696.3125,6763971.581535375,149696.3125
291,"Coosa, AL",2018,191560,159077.91666666666,7680541.801879054,159077.91666666666
292,"Coosa, AL",2019,202546,171332.625,8877788.44974857,171332.625
293,"Covington, AL",2004,898190,98468.0,1759275.4348964896,98468.0
294,"Covington, AL",2005,901542,98592.0,1771389.5584653039,98592.0
295,"Covington, AL",2006,956100,91994.41666666667,1126800.95115049,91994.41666666667
296,"Covington, AL",2007,985796,94264.625,1348665.262640629,94264.625
297,"Covington, AL",2008,983012,102515.95833333333,2154742.9526913334,102515.95833333333
298,"Covington, AL",2009,1006744,94739.25,1394972.476927871,94739.25
299,"Covington, AL",2010,1066211,93091.66666666667,1234069.561461443,93091.66666666667
300,"Covington, AL",2011,1042397,86258.16666666667,566425.041547915,86258.16666666667
301,"Covington, AL",2012,1115077,84570.75,401614.3442850951,84570.75
302,"Covington, AL",2013,1180349,84373.16666666667,382270.82439295575,84373.16666666667
303,"Covington, AL",2014,1205086,83542.92857142857,301184.35211782716,83542.92857142857
304,"Covington, AL",2015,1222913,82085.68,158843.40018425882,82085.68
305,"Covington, AL",2016,1221217,85576.93518518518,499895.05646434706,85576.93518518518
306,"Covington, AL",2017,1257419,88295.79629629629,765526.5240740739,88295.79629629629
307,"Covington, AL",2018,1279032,92355.60185185185,1162166.3764078338,92355.60185185185
308,"Covington, AL",2019,1283429,96056.00925925926,1523636.192574069,96056.00925925926
309,"Crenshaw, AL",2001,216576,74083.66666666667,-622908.3481839066,74083.66666666667
310,"Crenshaw, AL",2002,209730,75717.83333333333,-463275.4618013045,75717.83333333333
311,"Crenshaw, AL",2003,233725,76078.58333333333,-428007.7310888693,76078.58333333333
312,"Crenshaw, AL",2004,274981,70381.42857142857,-984671.2479848703,70381.42857142857
313,"Crenshaw, AL",2005,312435,75750.19444444444,-460149.23636419047,75750.19444444444
314,"Crenshaw, AL",2006,331051,80015.36111111111,-43482.0023239227,80015.36111111111
315,"Crenshaw, AL",2007,318153,83904.22222222222,336452.08283026237,83904.22222222222
316,"Crenshaw, AL",2008,318656,87069.75,645753.0120146684,87069.75
317,"Crenshaw, AL",2009,305356,89639.02777777778,896730.2978879269,89639.02777777778
318,"Crenshaw, AL",2010,361810,89781.05555555556,910602.9232651163,89781.05555555556
319,"Crenshaw, AL",2011,360821,86287.77777777778,569355.8778952099,86287.77777777778
320,"Crenshaw, AL",2012,415398,80407.63333333333,-5088.046174374409,80407.63333333333
321,"Crenshaw, AL",2013,446086,73977.88888888889,-633263.9699443439,73977.88888888889
322,"Crenshaw, AL",2014,422443,73298.15277777778,-699696.2604830032,73298.15277777778
323,"Crenshaw, AL",2015,444383,74540.68055555556,-578261.9411601303,74540.68055555556
324,"Crenshaw, AL",2016,405783,74295.41666666667,-602294.7992079398,74295.41666666667
325,"Crenshaw, AL",2017,438238,73674.72222222222,-662865.4170520119,73674.72222222222
326,"Crenshaw, AL",2018,453894,76409.72222222222,-395670.8367237272,76409.72222222222
327,"Crenshaw, AL",2019,462069,78785.91666666667,-163548.59801805858,78785.91666666667
328,"Cullman, AL",2001,1621868,93392.68181818182,1263475.6194792893,93392.68181818182
329,"Cullman, AL",2002,1626654,96309.81060606061,1548450.6069811564,96309.81060606061
330,"Cullman, AL",2003,1725973,98682.60606060606,1780279.7620520964,98682.60606060606
331,"Cullman, AL",2004,1939807,101523.77272727272,2057829.9641408175,101523.77272727272
332,"Cullman, AL",2005,2035387,107843.86363636363,2675259.4879707117,107843.86363636363
333,"Cullman, AL",2006,2096468,115276.81060606061,3401423.0402852036,115276.81060606061
334,"Cullman, AL",2007,2068226,119622.54545454546,3826003.532463165,119622.54545454546
335,"Cullman, AL",2008,2076964,121715.54545454546,4030478.2149593625,121715.54545454546
336,"Cullman, AL",2009,2083819,120161.11363636363,3878563.197624633,120161.11363636363
337,"Cullman, AL",2010,2162156,116093.59090909091,3481239.4834765047,116093.59090909091
338,"Cullman, AL",2011,2181436,111274.40151515152,3010351.7770113014,111274.40151515152
339,"Cullman, AL",2012,2317220,110709.89393939394,2955252.0536821783,110709.89393939394
340,"Cullman, AL",2013,2520730,111350.87878787878,3017874.256969355,111350.87878787878
341,"Cullman, AL",2014,2563808,114666.37878787878,3341731.67334532,114666.37878787878
