,County,Year,GDP (thousands)
182,"Cherokee, AL",2012,"472,852"
183,"Cherokee, AL",2013,"525,307"
184,"Cherokee, AL",2014,"511,811"
185,"Cherokee, AL",2015,"529,936"
186,"Cherokee, AL",2016,"521,848"
187,"Cherokee, AL",2017,"546,458"
188,"Cherokee, AL",2018,"591,293"
189,"Cherokee, AL",2019,"598,746"
190,"Chilton, AL",2001,"498,268"
191,"Chilton, AL",2002,"532,113"
192,"Chilton, AL",2003,"563,391"
193,"Chilton, AL",2004,"619,985"
194,"Chilton, AL",2005,"646,491"
195,"Chilton, AL",2006,"699,949"
196,"Chilton, AL",2007,"715,802"
197,"Chilton, AL",2008,"701,312"
198,"Chilton, AL",2009,"708,357"
199,"Chilton, AL",2010,"726,726"
200,"Chilton, AL",2011,"781,607"
201,"Chilton, AL",2012,"826,937"
202,"Chilton, AL",2013,"881,871"
203,"Chilton, AL",2014,"863,768"
204,"Chilton, AL",2015,"899,018"
205,"Chilton, AL",2016,"923,432"
206,"Chilton, AL",2017,"976,236"
207,"Chilton, AL",2018,"1,032,642"
208,"Chilton, AL",2019,"1,088,804"
209,"Choctaw, AL",2001,"514,737"
210,"Choctaw, AL",2002,"448,651"
211,"Choctaw, AL",2003,"418,649"
212,"Choctaw, AL",2004,"483,146"
213,"Choctaw, AL",2005,"549,337"
214,"Choctaw, AL",2006,"628,000"
215,"Choctaw, AL",2007,"551,609"
216,"Choctaw, AL",2008,"555,611"
217,"Choctaw, AL",2009,"373,475"
218,"Choctaw, AL",2010,"401,820"
219,"Choctaw, AL",2011,"464,666"
220,"Choctaw, AL",2012,"564,511"
221,"Choctaw, AL",2013,"575,598"
222,"Choctaw, AL",2014,"574,949"
223,"Choctaw, AL",2015,"548,765"
224,"Choctaw, AL",2016,"536,643"
225,"Choctaw, AL",2017,"538,181"
226,"Choctaw, AL",2018,"603,115"
227,"Choctaw, AL",2019,"610,383"
228,"Clarke, AL",2001,"539,533"
229,"Clarke, AL",2002,"552,550"
230,"Clarke, AL",2003,"559,307"
231,"Clarke, AL",2004,"625,506"
232,"Clarke, AL",2005,"667,131"
233,"Clarke, AL",2006,"742,299"
234,"Clarke, AL",2007,"761,486"
235,"Clarke, AL",2008,"740,789"
236,"Clarke, AL",2009,"736,987"
237,"Clarke, AL",2010,"725,962"
238,"Clarke, AL",2011,"760,688"
239,"Clarke, AL",2012,"794,173"
240,"Clarke, AL",2013,"833,313"
241,"Clarke, AL",2014,"835,626"
242,"Clarke, AL",2015,"841,959"
243,"Clarke, AL",2016,"836,702"
244,"Clarke, AL",2017,"825,412"
245,"Clarke, AL",2018,"876,370"
246,"Clarke, AL",2019,"898,449"
247,"Clay, AL",2001,"255,902"
248,"Clay, AL",2002,"266,728"
249,"Clay, AL",2003,"250,841"
250,"Clay, AL",2004,"280,212"
251,"Clay, AL",2005,"313,040"
252,"Clay, AL",2006,"355,679"
253,"Clay, AL",2007,"312,499"
254,"Clay, AL",2008,"292,693"
255,"Clay, AL",2009,"284,740"
256,"Clay, AL",2010,"287,746"
257,"Clay, AL",2011,"273,474"
258,"Clay, AL",2012,"280,554"
259,"Clay, AL",2013,"310,758"
260,"Clay, AL",2014,"319,745"
261,"Clay, AL",2015,"341,114"
262,"Clay, AL",2016,"368,041"
263,"Clay, AL",2017,"404,283"
264,"Clay, AL",2018,"449,094"
265,"Clay, AL",2019,"446,444"
266,"Cleburne, AL",2001,"210,413"
267,"Cleburne, AL",2002,"213,111"
268,"Cleburne, AL",2003,"214,084"
269,"Cleburne, AL",2004,"238,187"
270,"Cleburne, AL",2005,"251,914"
271,"Cleburne, AL",2006,"253,148"
272,"Cleburne, AL",2007,"248,828"
273,"Cleburne, AL",2008,"264,836"
274,"Cleburne, AL",2009,"240,784"
275,"Cleburne, AL",2010,"255,457"
276,"Cleburne, AL",2011,"248,745"
277,"Cleburne, AL",2012,"266,164"
278,"Cleburne, AL",2013,"287,578"
279,"Cleburne, AL",2014,"304,564"
280,"Cleburne, AL",2015,"313,774"
281,"Cleburne, AL",2016,"296,729"
282,"Cleburne, AL",2017,"306,775"
283,"Cleburne, AL",2018,"318,536"
284,"Cleburne, AL",2019,"293,412"
285,"Coffee, AL",2001,"798,754"
286,"Coffee, AL",2002,"820,387"
287,"Coffee, AL",2003,"838,087"
288,"Coffee, AL",2004,"932,002"
289,"Coffee, AL",2005,"965,559"
290,"Coffee, AL",2006,"982,251"
291,"Coffee, AL",2007,"1,063,540"
292,"Coffee, AL",2008,"1,109,353"
293,"Coffee, AL",2009,"1,156,636"
294,"Coffee, AL",2010,"1,183,258"
295,"Coffee, AL",2011,"1,153,916"
296,"Coffee, AL",2012,"1,208,587"
297,"Coffee, AL",2013,"1,242,826"
298,"Coffee, AL",2014,"1,293,018"
299,"Coffee, AL",2015,"1,396,531"
300,"Coffee, AL",2016,"1,406,574"
301,"Coffee, AL",2017,"1,426,212"
302,"Coffee, AL",2018,"1,476,132"
303,"Coffee, AL",2019,"1,508,238"
304,"Colbert, AL",2001,"1,415,688"
305,"Colbert, AL",2002,"1,470,292"
306,"Colbert, AL",2003,"1,625,779"
307,"Colbert, AL",2004,"1,792,657"
308,"Colbert, AL",2005,"1,907,776"
309,"Colbert, AL",2006,"2,063,344"
310,"Colbert, AL",2007,"2,089,453"
311,"Colbert, AL",2008,"2,142,428"
312,"Colbert, AL",2009,"1,918,713"
313,"Colbert, AL",2010,"2,152,899"
314,"Colbert, AL",2011,"2,342,966"
315,"Colbert, AL",2012,"2,380,790"
316,"Colbert, AL",2013,"2,664,387"
317,"Colbert, AL",2014,"2,654,110"
318,"Colbert, AL",2015,"2,632,285"
319,"Colbert, AL",2016,"2,518,189"
320,"Colbert, AL",2017,"2,469,725"
321,"Colbert, AL",2018,"2,599,129"
322,"Colbert, AL",2019,"2,668,227"
323,"Conecuh, AL",2001,"248,334"
324,"Conecuh, AL",2002,"251,365"
325,"Conecuh, AL",2003,"258,495"
326,"Conecuh, AL",2004,"291,474"
327,"Conecuh, AL",2005,"352,420"
328,"Conecuh, AL",2006,"427,014"
329,"Conecuh, AL",2007,"469,991"
330,"Conecuh, AL",2008,"558,447"
331,"Conecuh, AL",2009,"415,970"
332,"Conecuh, AL",2010,"406,270"
333,"Conecuh, AL",2011,"492,552"
334,"Conecuh, AL",2012,"512,476"
335,"Conecuh, AL",2013,"537,801"
336,"Conecuh, AL",2014,"472,137"
337,"Conecuh, AL",2015,"389,071"
338,"Conecuh, AL",2016,"384,416"
339,"Conecuh, AL",2017,"399,073"
340,"Conecuh, AL",2018,"411,683"
341,"Conecuh, AL",2019,"418,672"
342,"Coosa, AL",2001,"137,301"
343,"Coosa, AL",2002,"140,972"
344,"Coosa, AL",2003,"136,869"
345,"Coosa, AL",2004,"145,850"
346,"Coosa, AL",2005,"157,992"
347,"Coosa, AL",2006,"179,747"
348,"Coosa, AL",2007,"171,299"
349,"Coosa, AL",2008,"160,828"
350,"Coosa, AL",2009,"168,926"
351,"Coosa, AL",2010,"162,473"
352,"Coosa, AL",2011,"167,501"
353,"Coosa, AL",2012,"161,870"
354,"Coosa, AL",2013,"179,602"
355,"Coosa, AL",2014,"173,496"
356,"Coosa, AL",2015,"180,487"
357,"Coosa, AL",2016,"187,210"
358,"Coosa, AL",2017,"185,047"
359,"Coosa, AL",2018,"191,560"
360,"Coosa, AL",2019,"202,546"
361,"Covington, AL",2001,"770,823"
362,"Covington, AL",2002,"833,766"
363,"Covington, AL",2003,"803,501"
364,"Covington, AL",2004,"898,190"
365,"Covington, AL",2005,"901,542"
366,"Covington, AL",2006,"956,100"
367,"Covington, AL",2007,"985,796"
368,"Covington, AL",2008,"983,012"
369,"Covington, AL",2009,"1,006,744"
370,"Covington, AL",2010,"1,066,211"
371,"Covington, AL",2011,"1,042,397"
372,"Covington, AL",2012,"1,115,077"
373,"Covington, AL",2013,"1,180,349"
374,"Covington, AL",2014,"1,205,086"
375,"Covington, AL",2015,"1,222,913"
376,"Covington, AL",2016,"1,221,217"
377,"Covington, AL",2017,"1,257,419"
378,"Covington, AL",2018,"1,279,032"
379,"Covington, AL",2019,"1,283,429"
380,"Crenshaw, AL",2001,"216,576"
381,"Crenshaw, AL",2002,"209,730"
382,"Crenshaw, AL",2003,"233,725"
383,"Crenshaw, AL",2004,"274,981"
384,"Crenshaw, AL",2005,"312,435"
385,"Crenshaw, AL",2006,"331,051"
386,"Crenshaw, AL",2007,"318,153"
387,"Crenshaw, AL",2008,"318,656"
388,"Crenshaw, AL",2009,"305,356"
389,"Crenshaw, AL",2010,"361,810"
390,"Crenshaw, AL",2011,"360,821"
391,"Crenshaw, AL",2012,"415,398"
392,"Crenshaw, AL",2013,"446,086"
393,"Crenshaw, AL",2014,"422,443"
394,"Crenshaw, AL",2015,"444,383"
395,"Crenshaw, AL",2016,"405,783"
396,"Crenshaw, AL",2017,"438,238"
397,"Crenshaw, AL",2018,"453,894"
398,"Crenshaw, AL",2019,"462,069"
399,"Cullman, AL",2001,"1,621,868"
400,"Cullman, AL",2002,"1,626,654"
401,"Cullman, AL",2003,"1,725,973"
402,"Cullman, AL",2004,"1,939,807"
403,"Cullman, AL",2005,"2,035,387"
404,"Cullman, AL",2006,"2,096,468"
405,"Cullman, AL",2007,"2,068,226"
406,"Cullman, AL",2008,"2,076,964"
407,"Cullman, AL",2009,"2,083,819"
408,"Cullman, AL",2010,"2,162,156"
409,"Cullman, AL",2011,"2,181,436"
410,"Cullman, AL",2012,"2,317,220"
411,"Cullman, AL",2013,"2,520,730"
412,"Cullman, AL",2014,"2,563,808"
413,"Cullman, AL",2015,"2,734,390"
414,"Cullman, AL",2016,"2,742,459"
415,"Cullman, AL",2017,"2,807,138"
416,"Cullman, AL",2018,"2,887,628"
417,"Cullman, AL",2019,"2,910,219"
418,"Dale, AL",2001,"1,469,267"
419,"Dale, AL",2002,"1,566,539"
420,"Dale, AL",2003,"1,667,589"
421,"Dale, AL",2004,"1,834,699"
422,"Dale, AL",2005,"2,098,561"
423,"Dale, AL",2006,"2,277,884"
424,"Dale, AL",2007,"2,360,643"
425,"Dale, AL",2008,"2,522,901"
426,"Dale, AL",2009,"2,643,283"
427,"Dale, AL",2010,"2,820,514"
428,"Dale, AL",2011,"2,760,078"
429,"Dale, AL",2012,"2,776,547"
430,"Dale, AL",2013,"2,849,232"
431,"Dale, AL",2014,"2,727,728"
432,"Dale, AL",2015,"2,839,061"
433,"Dale, AL",2016,"2,828,346"
434,"Dale, AL",2017,"2,836,430"
435,"Dale, AL",2018,"2,884,874"
436,"Dale, AL",2019,"2,997,937"
437,"Dallas, AL",2001,"1,011,822"
438,"Dallas, AL",2002,"995,479"
439,"Dallas, AL",2003,"988,902"
440,"Dallas, AL",2004,"1,080,987"
441,"Dallas, AL",2005,"1,146,007"
442,"Dallas, AL",2006,"1,229,836"
443,"Dallas, AL",2007,"1,215,190"
444,"Dallas, AL",2008,"1,181,328"
445,"Dallas, AL",2009,"1,179,804"
446,"Dallas, AL",2010,"1,183,828"
447,"Dallas, AL",2011,"1,218,914"
448,"Dallas, AL",2012,"1,255,691"
449,"Dallas, AL",2013,"1,307,246"
450,"Dallas, AL",2014,"1,320,938"
451,"Dallas, AL",2015,"1,216,219"
452,"Dallas, AL",2016,"1,250,639"
453,"Dallas, AL",2017,"1,267,112"
454,"Dallas, AL",2018,"1,306,799"
455,"Dallas, AL",2019,"1,368,839"
456,"DeKalb, AL",2001,"1,392,917"
457,"DeKalb, AL",2002,"1,420,164"
458,"DeKalb, AL",2003,"1,455,372"
459,"DeKalb, AL",2004,"1,595,491"
460,"DeKalb, AL",2005,"1,560,035"
461,"DeKalb, AL",2006,"1,682,113"
462,"DeKalb, AL",2007,"1,680,756"
463,"DeKalb, AL",2008,"1,658,026"
464,"DeKalb, AL",2009,"1,612,695"
465,"DeKalb, AL",2010,"1,645,898"
466,"DeKalb, AL",2011,"1,512,303"
467,"DeKalb, AL",2012,"1,604,667"
468,"DeKalb, AL",2013,"1,806,098"
469,"DeKalb, AL",2014,"1,833,467"
470,"DeKalb, AL",2015,"1,938,704"
471,"DeKalb, AL",2016,"1,847,756"
472,"DeKalb, AL",2017,"2,009,009"
473,"DeKalb, AL",2018,"2,103,214"
474,"DeKalb, AL",2019,"2,081,054"
475,"Elmore, AL",2001,"872,033"
476,"Elmore, AL",2002,"951,665"
477,"Elmore, AL",2003,"1,028,531"
478,"Elmore, AL",2004,"1,152,359"
479,"Elmore, AL",2005,"1,218,358"
480,"Elmore, AL",2006,"1,289,821"
481,"Elmore, AL",2007,"1,368,866"
482,"Elmore, AL",2008,"1,396,839"
483,"Elmore, AL",2009,"1,459,549"
484,"Elmore, AL",2010,"1,522,526"
485,"Elmore, AL",2011,"1,530,673"
486,"Elmore, AL",2012,"1,567,279"
487,"Elmore, AL",2013,"1,663,035"
488,"Elmore, AL",2014,"1,660,450"
489,"Elmore, AL",2015,"1,725,677"
490,"Elmore, AL",2016,"1,784,998"
491,"Elmore, AL",2017,"1,843,878"
492,"Elmore, AL",2018,"1,905,416"
493,"Elmore, AL",2019,"1,968,275"
494,"Escambia, AL",2001,"878,554"
495,"Escambia, AL",2002,"869,635"
496,"Escambia, AL",2003,"900,102"
497,"Escambia, AL",2004,"1,017,729"
498,"Escambia, AL",2005,"1,158,841"
499,"Escambia, AL",2006,"1,230,157"
500,"Escambia, AL",2007,"1,316,520"
501,"Escambia, AL",2008,"1,371,193"
502,"Escambia, AL",2009,"1,213,534"
503,"Escambia, AL",2010,"1,236,376"
504,"Escambia, AL",2011,"1,248,511"
505,"Escambia, AL",2012,"1,238,072"
506,"Escambia, AL",2013,"1,288,274"
507,"Escambia, AL",2014,"1,274,907"
508,"Escambia, AL",2015,"1,196,880"
509,"Escambia, AL",2016,"1,195,676"
510,"Escambia, AL",2017,"1,250,434"
511,"Escambia, AL",2018,"1,315,032"
512,"Escambia, AL",2019,"1,353,040"
513,"Etowah, AL",2001,"2,055,972"
514,"Etowah, AL",2002,"2,139,593"
515,"Etowah, AL",2003,"2,190,737"
516,"Etowah, AL",2004,"2,359,677"
517,"Etowah, AL",2005,"2,417,794"
518,"Etowah, AL",2006,"2,496,073"
519,"Etowah, AL",2007,"2,549,349"
520,"Etowah, AL",2008,"2,603,196"
521,"Etowah, AL",2009,"2,626,375"
522,"Etowah, AL",2010,"2,695,319"
523,"Etowah, AL",2011,"2,753,803"
524,"Etowah, AL",2012,"2,804,122"
525,"Etowah, AL",2013,"2,852,227"
526,"Etowah, AL",2014,"2,896,115"
527,"Etowah, AL",2015,"3,031,903"
528,"Etowah, AL",2016,"3,101,279"
529,"Etowah, AL",2017,"3,162,568"
530,"Etowah, AL",2018,"3,262,625"
531,"Etowah, AL",2019,"3,348,964"
532,"Fayette, AL",2001,"302,769"
533,"Fayette, AL",2002,"288,741"
534,"Fayette, AL",2003,"298,475"
535,"Fayette, AL",2004,"322,236"
536,"Fayette, AL",2005,"335,117"
537,"Fayette, AL",2006,"347,601"
538,"Fayette, AL",2007,"340,779"
539,"Fayette, AL",2008,"438,286"
540,"Fayette, AL",2009,"430,849"
541,"Fayette, AL",2010,"498,661"
542,"Fayette, AL",2011,"472,204"
543,"Fayette, AL",2012,"458,457"
544,"Fayette, AL",2013,"422,272"
545,"Fayette, AL",2014,"345,795"
546,"Fayette, AL",2015,"359,205"
547,"Fayette, AL",2016,"366,260"
548,"Fayette, AL",2017,"353,331"
549,"Fayette, AL",2018,"369,250"
550,"Fayette, AL",2019,"386,218"
551,"Franklin, AL",2001,"602,688"
552,"Franklin, AL",2002,"598,797"
553,"Franklin, AL",2003,"631,218"
554,"Franklin, AL",2004,"714,189"
555,"Franklin, AL",2005,"741,056"
556,"Franklin, AL",2006,"729,424"
557,"Franklin, AL",2007,"762,864"
558,"Franklin, AL",2008,"763,147"
559,"Franklin, AL",2009,"749,923"
560,"Franklin, AL",2010,"795,979"
561,"Franklin, AL",2011,"868,435"
562,"Franklin, AL",2012,"874,705"
563,"Franklin, AL",2013,"926,596"
564,"Franklin, AL",2014,"879,940"
565,"Franklin, AL",2015,"902,925"
566,"Franklin, AL",2016,"903,616"
567,"Franklin, AL",2017,"980,674"
568,"Franklin, AL",2018,"1,037,482"
569,"Franklin, AL",2019,"1,049,427"
570,"Geneva, AL",2001,"358,919"
571,"Geneva, AL",2002,"367,775"
572,"Geneva, AL",2003,"380,321"
573,"Geneva, AL",2004,"401,379"
574,"Geneva, AL",2005,"423,874"
575,"Geneva, AL",2006,"440,295"
576,"Geneva, AL",2007,"476,306"
577,"Geneva, AL",2008,"484,114"
578,"Geneva, AL",2009,"473,553"
579,"Geneva, AL",2010,"481,640"
580,"Geneva, AL",2011,"460,660"
581,"Geneva, AL",2012,"472,030"
582,"Geneva, AL",2013,"510,088"
583,"Geneva, AL",2014,"510,541"
584,"Geneva, AL",2015,"535,590"
585,"Geneva, AL",2016,"540,564"
586,"Geneva, AL",2017,"530,829"
587,"Geneva, AL",2018,"547,413"
588,"Geneva, AL",2019,"589,539"
589,"Greene, AL",2001,"207,073"
590,"Greene, AL",2002,"227,450"
591,"Greene, AL",2003,"246,858"
592,"Greene, AL",2004,"281,062"
593,"Greene, AL",2005,"302,594"
594,"Greene, AL",2006,"320,241"
595,"Greene, AL",2007,"324,435"
596,"Greene, AL",2008,"280,901"
597,"Greene, AL",2009,"272,254"
598,"Greene, AL",2010,"275,412"
599,"Greene, AL",2011,"328,752"
600,"Greene, AL",2012,"287,090"
601,"Greene, AL",2013,"295,250"
602,"Greene, AL",2014,"285,313"
603,"Greene, AL",2015,"257,499"
604,"Greene, AL",2016,"242,224"
605,"Greene, AL",2017,"224,580"
606,"Greene, AL",2018,"235,709"
607,"Greene, AL",2019,"264,592"
608,"Hale, AL",2001,"207,315"
609,"Hale, AL",2002,"224,260"
610,"Hale, AL",2003,"256,390"
611,"Hale, AL",2004,"280,951"
612,"Hale, AL",2005,"287,649"
613,"Hale, AL",2006,"320,454"
614,"Hale, AL",2007,"299,907"
615,"Hale, AL",2008,"294,659"
616,"Hale, AL",2009,"282,662"
617,"Hale, AL",2010,"298,972"
618,"Hale, AL",2011,"303,422"
619,"Hale, AL",2012,"304,502"
620,"Hale, AL",2013,"315,280"
621,"Hale, AL",2014,"305,223"
622,"Hale, AL",2015,"306,879"
623,"Hale, AL",2016,"318,577"
624,"Hale, AL",2017,"307,370"
625,"Hale, AL",2018,"295,003"
626,"Hale, AL",2019,"308,856"
627,"Henry, AL",2001,"258,360"
628,"Henry, AL",2002,"285,661"
629,"Henry, AL",2003,"277,509"
630,"Henry, AL",2004,"294,989"
631,"Henry, AL",2005,"319,627"
632,"Henry, AL",2006,"337,031"
633,"Henry, AL",2007,"325,614"
634,"Henry, AL",2008,"326,124"
635,"Henry, AL",2009,"312,044"
636,"Henry, AL",2010,"307,648"
637,"Henry, AL",2011,"329,665"
638,"Henry, AL",2012,"320,920"
639,"Henry, AL",2013,"359,101"
640,"Henry, AL",2014,"354,378"
641,"Henry, AL",2015,"381,222"
642,"Henry, AL",2016,"391,085"
643,"Henry, AL",2017,"422,347"
644,"Henry, AL",2018,"439,728"
645,"Henry, AL",2019,"464,128"
646,"Houston, AL",2001,"2,997,773"
647,"Houston, AL",2002,"3,199,423"
648,"Houston, AL",2003,"3,323,355"
649,"Houston, AL",2004,"3,536,580"
650,"Houston, AL",2005,"3,678,154"
651,"Houston, AL",2006,"3,895,825"
652,"Houston, AL",2007,"4,001,702"
653,"Houston, AL",2008,"3,918,948"
654,"Houston, AL",2009,"3,941,315"
655,"Houston, AL",2010,"3,989,588"
656,"Houston, AL",2011,"4,050,041"
657,"Houston, AL",2012,"4,200,112"
658,"Houston, AL",2013,"4,479,850"
659,"Houston, AL",2014,"4,674,234"
660,"Houston, AL",2015,"4,839,500"
661,"Houston, AL",2016,"5,091,379"
662,"Houston, AL",2017,"5,342,577"
663,"Houston, AL",2018,"5,528,003"
664,"Houston, AL",2019,"5,714,343"
665,"Jackson, AL",2001,"1,221,859"
666,"Jackson, AL",2002,"1,274,227"
667,"Jackson, AL",2003,"1,288,255"
668,"Jackson, AL",2004,"1,452,581"
669,"Jackson, AL",2005,"1,522,853"
670,"Jackson, AL",2006,"1,613,456"
671,"Jackson, AL",2007,"1,630,750"
672,"Jackson, AL",2008,"1,576,411"
